Date, Reviewed Today, Total Review, One, Two, Three, Four, Five, Six, Zero Missing, One Missing, Total Words, Total Known, Word Numbers,
15/01/2022,3747,644394,16561,6762,3832,2488,1752,1365,609,23425,959687,791904,50230,
16/01/2022,3679,648073,16644,6617,3835,2507,1736,1399,570,23535,960833,793459,50351,
17/01/2022,4126,652199,16584,6711,3801,2536,1733,1384,552,23697,963224,796064,50419,
18/01/2022,3718,655917,16449,6712,3809,2524,1746,1385,582,23836,963534,797074,50299,
19/01/2022,2963,658880,16398,6723,3817,2509,1757,1394,576,23944,963892,797885,50269,
20/01/2022,2450,661330,16251,6725,3810,2511,1757,1393,594,24001,963905,798337,50122,
21/01/2022,3278,664608,16209,6692,3839,2523,1749,1386,617,24166,964147,799290,50081,
22/01/2022,2713,667321,16111,6658,3846,2506,1766,1397,600,24263,964121,799657,49968,
23/01/2022,5760,673081,16103,6603,3846,2498,1800,1384,586,24358,965692,802017,50208,
24/01/2022,3624,676705,16047,6584,3891,2495,1813,1374,588,24447,967883,804292,50311,
25/01/2022,2511,679216,16012,6515,3859,2522,1791,1389,579,24499,969016,805645,50278,
26/01/2022,3062,682278,15676,6450,3862,2521,1784,1410,579,24618,968990,806248,50138,
27/01/2022,4880,687158,15696,6485,3846,2538,1802,1369,582,24665,968946,806787,50197,
28/01/2022,3122,690280,15765,6447,3815,2560,1790,1391,590,24769,970125,808018,50258,
29/01/2022,1890,692170,15679,6468,3815,2541,1803,1391,592,24808,970661,808707,50200,
30/01/2022,4467,696637,15702,6512,3806,2532,1797,1406,673,24985,972625,811539,50387,
31/01/2022,5446,702083,15639,6539,3820,2545,1786,1412,626,25124,974217,813525,50520,
01/02/2022,3993,706076,15618,6520,3820,2537,1818,1386,586,25232,974692,814374,50556,
02/02/2022,2410,708486,15597,6496,3831,2550,1787,1381,587,25280,976258,815977,50565,
03/02/2022,3159,711645,15396,6445,3784,2567,1811,1365,592,25428,975819,816308,50330,
04/02/2022,3107,714752,15253,6481,3800,2563,1816,1389,630,25592,976796,817768,50315,
05/02/2022,1731,716483,15234,6449,3767,2573,1820,1381,630,25637,976852,818087,50277,
06/02/2022,2749,719232,15109,6452,3732,2548,1842,1377,576,25718,977038,818613,50127,
07/02/2022,3677,722909,15139,6404,3767,2554,1817,1383,592,25857,977721,819751,50177,
08/02/2022,4695,727604,14954,6345,3758,2567,1816,1376,732,26027,976587,819954,49946,
09/02/2022,5004,732608,14863,6343,3761,2572,1809,1391,672,26266,977351,820991,49935,
10/02/2022,2468,735076,14812,6266,3766,2564,1801,1388,684,26508,976836,821223,49806,
11/02/2022,1200,736276,14810,6240,3748,2554,1815,1382,676,26569,976553,821124,49771,
12/02/2022,3417,739693,14881,6155,3775,2517,1815,1397,642,26661,976034,820933,49784,
13/02/2022,3437,743130,14781,6188,3752,2534,1800,1396,639,26687,976728,821698,49748,
14/02/2022,1324,744454,14756,6153,3768,2538,1793,1396,683,26771,976853,822227,49720,
15/02/2022,3218,747672,14830,6056,3747,2542,1797,1382,640,26941,976168,822037,49687,13160
16/02/2022,1515,749187,14863,5990,3732,2512,1806,1384,647,26989,975929,821923,49643,13178
17/02/2022,53,749240,15195,6032,3744,2535,1808,1394,702,27089,982962,827648,50117,13192
18/02/2022,0,749240,15481,6040,3744,2538,1812,1401,756,27165,987730,831599,50471,13214
19/02/2022,1124,750364,15341,5723,3700,2523,1790,1399,721,27080,976381,822359,49791,13138
20/02/2022,0,750364,15564,5758,3708,2532,1791,1401,769,27167,981491,826576,50104,13144
21/02/2022,5889,756253,15077,5659,3701,2476,1814,1363,676,27312,973257,820672,49448,13248
22/02/2022,4080,760333,14994,5627,3712,2465,1808,1364,652,27461,973438,821096,49388,13303
23/02/2022,5011,765344,14897,5637,3695,2491,1805,1365,691,27620,973188,821641,49359,13416
24/02/2022,5475,770819,14800,5611,3664,2509,1830,1352,698,27761,972852,821844,49225,13451
25/02/2022,4479,775298,14727,5565,3640,2553,1817,1341,683,27844,974620,823773,49149,13499
26/02/2022,373,775671,14780,5560,3633,2550,1831,1338,691,27868,976161,825078,49208,13497
27/02/2022,2774,778445,14622,5489,3614,2531,1833,1339,688,27924,973680,823430,48958,13546
28/02/2022,5373,783818,14612,5535,3650,2539,1817,1349,661,27902,977198,826768,49100,13617
01/03/2022,5015,788833,14486,5558,3646,2564,1817,1351,672,27962,978891,828668,49062,13680
