Date, Reviewed Today, Total Review, One, Two, Three, Four, Five, Six, Zero Missing, One Missing, Total Words, Known Words, Word Count
15/01/2022, 0759, 64747, 13871, 5210, 3804, 2674, 1893, 1343, 947, 10206, 884815, 652376, 41275
16/01/2022, 0747, 65494, 13702, 5201, 3794, 2675, 1862, 1342, 961, 10361, 884942, 653784, 41077
17/01/2022, 0716, 66210, 13521, 5180, 3776, 2670, 1857, 1351, 987, 10474, 885111, 654988, 40857
18/01/2022, 860, 67070, 13407, 5161, 3752, 2679, 1857, 1329, 989, 10640, 885854, 656955, 40730
19/01/2022, 45, 67115, 13470, 5091, 3756, 2669, 1845, 1320, 1005, 10666, 886949, 657954, 40723
20/01/2022, 12, 67127, 13447, 5085, 3734, 2682, 1849, 1320, 1016, 10696, 888407, 659166, 40694
21/01/2022, 0, 67127, 13506, 5093, 3720, 2680, 1856, 1322, 1021, 10719, 891649, 661490, 40789
22/01/2022, 0, 67127, 13388, 5119, 3710, 2666, 1864, 1312, 1029, 10752, 892684, 662547, 40695
23/01/2022, 0, 67127, 13407, 5113, 3681, 2662, 1879, 1311, 1040, 10766, 893739, 663338, 40701
24/01/2022, 0, 67127, 13519, 5070, 3686, 2663, 1869, 1309, 1045, 10783, 894579, 663960, 40777
25/01/2022, 0, 67127, 13608, 5018, 3678, 2643, 1879, 1310, 1052, 10800, 895873, 664965, 40810
26/01/2022, 0, 67127, 13565, 4847, 3645, 2599, 1893, 1301, 1065, 10794, 891878, 662409, 40489
27/01/2022, 0, 67127, 13524, 4789, 3650, 2578, 1883, 1305, 1074, 10813, 892051, 662744, 40372
28/01/2022, 0, 67127, 13502, 4788, 3637, 2566, 1885, 1317, 1085, 10832, 892715, 663221, 40351
29/01/2022, 0, 67127, 13529, 4807, 3636, 2570, 1882, 1326, 1098, 10848, 895005, 664893, 40419
30/01/2022, 0, 67127, 13559, 4672, 3658, 2579, 1865, 1334, 1108, 10854, 894454, 664610, 40329
31/01/2022, 0, 67127, 13568, 4662, 3670, 2552, 1868, 1337, 1114, 10882, 895455, 665381, 40326
01/02/2022, 0, 67127, 13547, 4684, 3672, 2545, 1867, 1326, 1126, 10909, 897837, 667204, 40346
02/02/2022, 0, 67127, 13591, 4613, 3663, 2545, 1893, 1319, 1137, 10932, 898824, 668045, 40324
03/02/2022, 0, 67127, 13613, 4532, 3661, 2540, 1906, 1307, 1146, 10947, 898850, 668225, 40262
04/02/2022, 0, 67127, 13649, 4476, 3661, 2542, 1909, 1310, 1155, 10956, 899348, 668664, 40248
05/02/2022, 0, 67127, 13670, 4402, 3659, 2541, 1905, 1317, 1164, 10959, 899628, 668952, 40188
06/02/2022, 0, 67127, 13624, 4361, 3631, 2531, 1916, 1328, 1170, 10969, 899033, 668539, 40083
07/02/2022, 0, 67127, 13608, 4280, 3607, 2552, 1913, 1300, 1189, 10986, 898616, 668477, 39963
08/02/2022, 0, 67127, 13594, 4261, 3562, 2541, 1917, 1305, 1197, 10991, 898350, 668393, 39876
09/02/2022, 0, 67127, 13551, 4267, 3518, 2536, 1910, 1332, 1206, 11011, 898209, 668489, 39786
10/02/2022, 0, 67127, 13573, 4206, 3487, 2555, 1885, 1331, 1212, 11027, 898516, 668884, 39720
11/02/2022, 0, 67127, 13597, 4173, 3477, 2545, 1890, 1339, 1226, 11044, 899557, 669693, 39712
12/02/2022, 0, 67127, 13558, 4205, 3398, 2544, 1874, 1349, 1236, 11045, 898359, 669058, 39603
13/02/2022, 0, 67127, 13553, 4240, 3304, 2541, 1856, 1368, 1250, 11050, 896895, 668139, 39512
14/02/2022, 0, 67127, 13533, 4226, 3272, 2542, 1864, 1372, 1257, 11069, 897249, 668516, 39453
15/02/2022, 0, 67127, 13513, 4153, 3280, 2545, 1860, 1358, 1268, 11097, 898216, 669387, 39368
16/02/2022, 0, 67127, 13575, 4177, 3190, 2518, 1867, 1347, 1286, 11114, 897946, 669347, 39339, 3745
17/02/2022, 0, 67127, 13604, 4141, 3196, 2509, 1867, 1354, 1301, 11135, 899219, 670343, 39337, 3741
18/02/2022, 0, 67127, 13619, 4090, 3209, 2496, 1854, 1370, 1319, 11146, 899794, 670925, 39295, 3740
19/02/2022, 0, 67127, 13589, 4019, 3193, 2489, 1850, 1368, 1329, 11167, 899377, 670895, 39164, 3737
20/02/2022, 0, 67127, 13598, 4076, 3130, 2462, 1824, 1368, 1340, 11175, 897344, 669653, 39093, 3733
21/02/2022, 0, 67127, 13530, 4030, 3145, 2470, 1818, 1359, 1353, 11190, 897064, 669540, 38986, 3734
22/02/2022, 0, 67127, 13529, 3992, 3138, 2460, 1823, 1372, 1359, 11210, 898055, 670373, 38941, 3732
23/02/2022, 0, 67127, 13548, 3927, 3137, 2462, 1816, 1363, 1372, 11235, 899022, 671270, 38892, 3730
24/02/2022, 0, 67127, 13569, 3868, 3136, 2442, 1830, 1355, 1383, 11248, 899091, 671420, 38840, 3729
25/02/2022, 0, 67127, 13623, 3801, 3140, 2435, 1818, 1382, 1390, 11263, 899277, 671584, 38826, 3730
26/02/2022, 0, 67127, 13519, 3814, 3140, 2439, 1813, 1362, 1399, 11280, 900190, 672329, 38733, 3729
27/02/2022, 0, 67127, 13454, 3872, 3056, 2425, 1810, 1364, 1411, 11279, 898365, 671141, 38614, 3729
28/02/2022, 0, 67127, 13432, 3817, 3041, 2427, 1791, 1365, 1418, 11292, 896958, 670266, 38496, 3728
01/03/2022, 0, 67127, 13429, 3807, 3045, 2421, 1801, 1355, 1423, 11313, 898211, 671201, 38487, 3726
02/03/2022, 0, 67127, 13330, 3822, 3051, 2415, 1797, 1358, 1435, 11344, 899663, 672391, 38407, 3722
03/03/2022, 0, 67127, 13210, 3852, 3046, 2414, 1783, 1364, 1444, 11357, 900754, 673206, 38312, 3721
04/03/2022, 0, 67127, 12905, 3930, 3029, 2444, 1768, 1365, 1457, 11390, 902711, 674794, 38096, 3718
05/03/2022, 0, 67127, 12715, 3928, 3028, 2458, 1744, 1375, 1461, 11396, 902050, 674454, 37894, 3717
06/03/2022, 0, 67127, 12581, 3958, 3008, 2458, 1733, 1382, 1468, 11401, 901880, 674412, 37759, 3716
07/03/2022, 0, 67127, 12428, 3988, 3001, 2458, 1726, 1381, 1478, 11422, 902011, 674595, 37620, 3714
08/03/2022, 0, 67127, 12329, 4009, 3002, 2451, 1724, 1375, 1490, 11448, 903906, 676151, 37544, 3713
09/03/2022, 0, 67127, 12184, 4012, 2999, 2462, 1719, 1375, 1499, 11462, 903885, 676209, 37408, 3714
10/03/2022, 0, 67127, 12102, 4031, 3005, 2466, 1719, 1366, 1507, 11480, 904983, 677068, 37352, 3713
11/03/2022, 0, 67127, 12049, 4043, 3001, 2459, 1746, 1343, 1514, 11497, 906729, 678412, 37316, 3711
12/03/2022, 0, 67127, 11853, 4083, 3002, 2442, 1756, 1350, 1520, 11511, 907146, 678789, 37158, 3709
13/03/2022, 0, 67127, 11720, 4101, 2990, 2453, 1749, 1338, 1523, 11533, 907423, 679131, 37033, 3709
14/03/2022, 3063, 70190, 10014, 4040, 2981, 2392, 1743, 1343, 1315, 11596, 889624, 667979, 35068, 3774
16/03/2022, 0028, 70218, 10159, 4077, 2987, 2387, 1749, 1331, 1331, 11627, 894067, 671129, 35287, 3774
17/03/2022, 0000, 70218, 10138, 4072, 2995, 2391, 1740, 1335, 1330, 11636, 894933, 671742, 35278, 3774
18/03/2022, 2101, 72319, 9281, 3977, 2984, 2383, 1751, 1296, 1316, 11957, 887377, 669515, 34313, 4050
19/03/2022, 0, 72319, 9352, 3987, 2991, 2375, 1749, 1300, 1321, 11979, 889653, 671142, 34418, 4051
20/03/2022, 0, 72319, 9421, 4009, 2997, 2357, 1772, 1296, 1331, 12016, 892202, 673038, 34529, 4052
21/03/2022, 1123, 73442, 9076, 4032, 2979, 2355, 1761, 1275, 1334, 12206, 891734, 674251, 34219, 4147
22/03/2022, 0, 73442, 9148, 4037, 2976, 2357, 1764, 1262, 1342, 12236, 893678, 675775, 34314, 4147
23/03/2022, 0, 73442, 9218, 4066, 2988, 2346, 1779, 1261, 1351, 12272, 896906, 678076, 34450, 4148
24/03/2022, 0, 73442, 9269, 4072, 2978, 2355, 1769, 1265, 1363, 12305, 899577, 680050, 34525, 4147
25/03/2022, 0, 73442, 9264, 4090, 2978, 2342, 1767, 1273, 1381, 12343, 902017, 681953, 34544, 4144
26/03/2022, 0, 73442, 9258, 4116, 2961, 2354, 1753, 1282, 1393, 12369, 903831, 683320, 34563, 4143
27/03/2022, 0, 73442, 9236, 4106, 2977, 2330, 1761, 1305, 1402, 12407, 904871, 684186, 34554, 4148
28/03/2022, 0, 73442, 9160, 4106, 2974, 2331, 1759, 1305, 1410, 12428, 905626, 684840, 34477, 4147
29/03/2022, 0, 73442, 9131, 4110, 2985, 2317, 1771, 1308, 1420, 12456, 907901, 686602, 34479, 4149
30/03/2022, 0, 73442, 9131, 4109, 2990, 2308, 1776, 1294, 1434, 12486, 909779, 688099, 34486, 4148
31/03/2022, 0, 73442, 9070, 4095, 2985, 2324, 1781, 1296, 1440, 12513, 910249, 688606, 34410, 4144
01/04/2022, 0, 73442, 8812, 4080, 2967, 2312, 1782, 1289, 1446, 12559, 909493, 688311, 34101, 4140
02/04/2022, 0, 73442, 8751, 4072, 2957, 2322, 1780, 1286, 1456, 12586, 911150, 689551, 34049, 4139
03/04/2022, 0, 73442, 8511, 4066, 2949, 2319, 1789, 1282, 1463, 12627, 910559, 689361, 33778, 4135
04/04/2022, 0, 73442, 8431, 4062, 2944, 2299, 1785, 1287, 1478, 12650, 910687, 689605, 33676, 4136
05/04/2022, 0, 73442, 8391, 4087, 2930, 2301, 1782, 1293, 1484, 12671, 912425, 690963, 33660, 4133
06/04/2022, 0, 73442, 8294, 4074, 2946, 2286, 1775, 1309, 1490, 12691, 912363, 691070, 33547, 4132
07/04/2022, 0, 73442, 8245, 4084, 2929, 2311, 1775, 1295, 1496, 12726, 914237, 692483, 33527, 4135
08/04/2022, 0, 73442, 8204, 4074, 2949, 2305, 1773, 1314, 1507, 12753, 916177, 693960, 33508, 4134
11/04/2022, 0, 73442, 8177, 4073, 2937, 2285, 1791, 1323, 1522, 12789, 918209, 695613, 33484, 4133
12/04/2022, 0, 73442, 8009, 4067, 2938, 2284, 1783, 1330, 1530, 12804, 917674, 695420, 33297, 4129
13/04/2022, 0, 73442, 7927, 4081, 2936, 2269, 1795, 1321, 1535, 12826, 918535, 696097, 33226, 4123
14/04/2022, 0, 73442, 7892, 4066, 2913, 2281, 1798, 1306, 1540, 12851, 919599, 697021, 33172, 4123
15/04/2022, 0, 73442, 7795, 4072, 2922, 2275, 1788, 1311, 1540, 12869, 920444, 697743, 33084, 4122
16/04/2022, 0, 73442, 7703, 4082, 2922, 2259, 1787, 1308, 1543, 12879, 919980, 697475, 32979, 4120
17/04/2022, 0, 73442, 7683, 4021, 2936, 2265, 1775, 1311, 1554, 12910, 920656, 698086, 32920, 4119
18/04/2022, 0, 73442, 7506, 4006, 2929, 2271, 1766, 1303, 1558, 12925, 919413, 697399, 32707, 4118
19/04/2022, 0, 73442, 7449, 3999, 2929, 2277, 1758, 1308, 1570, 12949, 920336, 698193, 32645, 4117
20/04/2022, 0, 73442, 7442, 3992, 2937, 2263, 1759, 1301, 1580, 12976, 921955, 699489, 32632, 4113
21/04/2022, 0, 73442, 7326, 3992, 2949, 2260, 1755, 1297, 1585, 12994, 922143, 699734, 32520, 4115
22/04/2022, 0, 73442, 7285, 3984, 2965, 2254, 1768, 1280, 1603, 13026, 923721, 700991, 32484, 4113
23/04/2022, 0, 73442, 7184, 3984, 2956, 2250, 1779, 1264, 1607, 13044, 923288, 700780, 32366, 4110
24/04/2022, 0, 73442, 7123, 4001, 2931, 2255, 1776, 1272, 1613, 13074, 924042, 701319, 32309, 4102
25/04/2022, 0, 73442, 7060, 3985, 2924, 2256, 1763, 1293, 1620, 13095, 924565, 701844, 32220, 4096
26/04/2022, 0, 73442, 6961, 3977, 2934, 2255, 1761, 1291, 1630, 13131, 925844, 702960, 32123, 4095
27/04/2022, 0, 73442, 6878, 3984, 2930, 2250, 1756, 1302, 1635, 13155, 926157, 703349, 32035, 4097
28/04/2022, 0, 73442, 6804, 3977, 2939, 2239, 1779, 1291, 1646, 13183, 927561, 704579, 31964, 4097
29/04/2022, 0, 73442, 6754, 3953, 2931, 2262, 1765, 1302, 1656, 13213, 928653, 705479, 31898, 4092
30/04/2022, 0, 73442, 6666, 3960, 2934, 2254, 1762, 1299, 1661, 13232, 929507, 706189, 31817, 4091
01/05/2022, 0, 73442, 6634, 3952, 2935, 2244, 1770, 1298, 1674, 13260, 930616, 707093, 31772, 4080
02/05/2022, 0, 73442, 6505, 3915, 2945, 2229, 1776, 1304, 1678, 13276, 930209, 706938, 31605, 4079
03/05/2022, 0, 73442, 6403, 3904, 2946, 2212, 1776, 1297, 1683, 13308, 931769, 708301, 31486, 4078
04/05/2022, 0, 73442, 6300, 3909, 2936, 2211, 1767, 1307, 1695, 13346, 932975, 709257, 31383, 4077
06/05/2022, 0, 73442, 6250, 3917, 2913, 2222, 1770, 1293, 1707, 13380, 934844, 710723, 31342, 4077
07/05/2022, 0, 73442, 6462, 3663, 2896, 2227, 1769, 1278, 1710, 13404, 931555, 708570, 31249, 4075
08/05/2022, 0, 73442, 6480, 3606, 2886, 2237, 1754, 1276, 1718, 13429, 931585, 708748, 31201, 4076
09/05/2022, 0, 73442, 6429, 3599, 2872, 2266, 1748, 1277, 1728, 13464, 932782, 709788, 31147, 4072
10/05/2022, 0, 73442, 6375, 3590, 2889, 2239, 1753, 1288, 1740, 13493, 933987, 710773, 31094, 4072
11/05/2022, 0, 73442, 6480, 3469, 2897, 2212, 1767, 1289, 1745, 13529, 933054, 710209, 31059, 4064
12/05/2022, 0, 73442, 6463, 3357, 2894, 2197, 1759, 1295, 1747, 13544, 930450, 708457, 30881, 4060
13/05/2022, 0, 73442, 6390, 3389, 2898, 2181, 1752, 1291, 1759, 13567, 931888, 709665, 30831, 4055
14/05/2022, 0, 73442, 6322, 3383, 2883, 2179, 1757, 1294, 1769, 13598, 932656, 710401, 30749, 4055
15/05/2022, 0, 73442, 6268, 3369, 2878, 2163, 1774, 1281, 1769, 13623, 932466, 710338, 30670, 4053
16/05/2022, 0, 73442, 6305, 3248, 2844, 2174, 1770, 1284, 1773, 13646, 930439, 709032, 30539, 4053
17/05/2022, 0, 73442, 6367, 3242, 2836, 2170, 1768, 1299, 1782, 13672, 932221, 710385, 30599, 4053
18/05/2022, 0, 73442, 6329, 3229, 2838, 2149, 1772, 1302, 1780, 13696, 933192, 711140, 30552, 4052
19/05/2022, 0, 73442, 6466, 3208, 2829, 2142, 1776, 1313, 1791, 13724, 934937, 712433, 30668, 4054
20/05/2022, 0, 73442, 6446, 3147, 2818, 2171, 1764, 1307, 1794, 13740, 934366, 712095, 30586, 4053
21/05/2022, 0, 73442, 6330, 3146, 2806, 2182, 1760, 1310, 1802, 13772, 935152, 712796, 30467, 4051
22/05/2022, 0, 73442, 6255, 3154, 2797, 2201, 1756, 1305, 1803, 13798, 936032, 713591, 30404, 4050
23/05/2022, 0, 73442, 6376, 3002, 2799, 2196, 1746, 1310, 1803, 13831, 934491, 712632, 30350, 4051
24/05/2022, 0, 73442, 6379, 2993, 2803, 2173, 1743, 1321, 1817, 13867, 936004, 713877, 30341, 4054
25/05/2022, 0, 73442, 6203, 2994, 2795, 2184, 1755, 1315, 1825, 13887, 935401, 713617, 30160, 4054
26/05/2022, 0, 73442, 6303, 2865, 2786, 2179, 1751, 1303, 1830, 13911, 934867, 713396, 30109, 4052
27/05/2022, 0, 73442, 6245, 2887, 2783, 2181, 1760, 1286, 1842, 13935, 935986, 714328, 30074, 4053
28/05/2022, 0, 73442, 6160, 2882, 2761, 2188, 1751, 1287, 1850, 13965, 936763, 715135, 29958, 4048
29/05/2022, 0, 73442, 6283, 2688, 2780, 2190, 1738, 1269, 1859, 13998, 934823, 713932, 29876, 4049
30/05/2022, 0, 73442, 6202, 2686, 2777, 2186, 1732, 1275, 1872, 14020, 935166, 714325, 29787, 4048
31/05/2022, 0, 73442, 6167, 2713, 2768, 2190, 1734, 1292, 1886, 14041, 937074, 715812, 29786, 4047
01/06/2022, 0, 73442, 6068, 2724, 2769, 2187, 1739, 1305, 1892, 14054, 937310, 716068, 29708, 4046
03/06/2022, 0, 73442, 6190, 2606, 2770, 2177, 1742, 1292, 1902, 14087, 937349, 716277, 29701, 4045
04/06/2022, 0, 73442, 6264, 2501, 2757, 2170, 1750, 1276, 1908, 14106, 936473, 715843, 29640, 4044
05/06/2022, 0, 73442, 6118, 2540, 2732, 2195, 1734, 1289, 1914, 14129, 936431, 715845, 29529, 4044
06/06/2022, 0, 73442, 6030, 2507, 2715, 2208, 1719, 1304, 1921, 14148, 936374, 716036, 29389, 4042
07/06/2022, 0, 73442, 6149, 2390, 2709, 2214, 1727, 1280, 1930, 14170, 935906, 715729, 29379, 4040
08/06/2022, 0, 73442, 6107, 2402, 2708, 2212, 1725, 1281, 1939, 14197, 937027, 716605, 29354, 4041
09/06/2022, 0, 73442, 6283, 2260, 2696, 2211, 1734, 1281, 1945, 14217, 935942, 715889, 29364, 4037
10/06/2022, 0, 73442, 6237, 2276, 2679, 2213, 1734, 1297, 1947, 14239, 936889, 716625, 29321, 4036
