Date, Reviewed Today, Total Review, One, Two, Three, Four, Five, Six, Zero, One, Total Words, Known Words, Word Count
15/01/2022, 1274, 111955, 14802, 7181, 4512, 2820, 1996, 1508, 791, 12487, 1011863, 785235, 47308
16/01/2022, 0912, 112867, 14744, 7192, 4518, 2805, 2000, 1504, 784, 12591, 1012322, 786371, 47266
17/01/2022, 1052, 113919, 14622, 7175, 4499, 2822, 1995, 1504, 790, 12697, 1012572, 787545, 47125
18/01/2022, 1909, 115828, 14469, 7179, 4469, 2832, 1996, 1514, 763, 12840, 1012270, 788522, 46977
19/01/2022, 0721, 116549, 14444, 7162, 4464, 2822, 1980, 1536, 775, 12922, 1012741, 789617, 46938
20/01/2022, 1776, 118325, 14247, 7156, 4460, 2808, 1974, 1539, 774, 13078, 1012068, 790285, 46719
21/01/2022, 2450, 120775, 14030, 7179, 4445, 2776, 1998, 1411, 762, 13337, 1011465, 791902, 46524
22/01/2022, 1950, 122725, 13974, 7193, 4434, 2790, 1802, 1430, 736, 13535, 1011908, 793862, 46511
23/01/2022, 0698, 123423, 13982, 7222, 4417, 2788, 1798, 1444, 734, 13590, 1012890, 794952, 46551
24/01/2022, 2613, 126036, 13974, 7192, 4414, 2602, 1795, 1456, 722, 13839, 1013811, 797699, 46536
25/01/2022, 1834, 127870, 13924, 7127, 4415, 2577, 1810, 1442, 819, 14399, 1013170, 801365, 46425
26/01/2022, 2246, 130116, 13739, 7108, 4407, 2577, 1821, 1441, 741, 14508, 1014302, 802924, 46369
27/01/2022, 2608, 132724, 13758, 7081, 4397, 2571, 1840, 1446, 695, 14695, 1015678, 804882, 46402
28/01/2022, 1775, 134499, 13708, 7010, 4388, 2596, 1814, 1438, 694, 14867, 1014808, 805600, 46284
29/01/2022, 1629, 136128, 13667, 6843, 4379, 2605, 1804, 1444, 687, 15060, 1014504, 806511, 46242
30/01/2022, 1797, 137925, 13699, 6841, 4384, 2627, 1795, 1453, 738, 15226, 1016062, 809102, 46325
31/01/2022, 4382, 142307, 13620, 6779, 4352, 2639, 1826, 1426, 777, 15634, 1014915, 811086, 46270
01/02/2022, 3429, 145736, 13602, 6732, 4361, 2647, 1823, 1433, 696, 15842, 1016511, 813457, 46363
02/02/2022, 3986, 149722, 13593, 6690, 4348, 2635, 1844, 1430, 689, 16167, 1018061, 816578, 46441
03/02/2022, 2910, 152632, 13407, 6715, 4326, 2657, 1827, 1435, 684, 16342, 1018152, 817942, 46347
04/02/2022, 2281, 154913, 13268, 6726, 4304, 2667, 1820, 1427, 735, 16548, 1019233, 820162, 46294
05/02/2022, 0785, 155698, 13209, 6711, 4315, 2656, 1826, 1414, 753, 16632, 1020096, 821419, 46284
06/02/2022, 2241, 157939, 13092, 6676, 4315, 2665, 1803, 1428, 731, 16722, 1019309, 821452, 46171
07/02/2022, 1571, 159510, 12971, 6666, 4324, 2655, 1809, 1433, 737, 16895, 1019760, 822705, 46088
08/02/2022, 1047, 160557, 12884, 6651, 4330, 2651, 1815, 1427, 729, 16962, 1019508, 822999, 46007
09/02/2022, 2852, 163409, 12752, 6621, 4281, 2674, 1835, 1405, 706, 17190, 1019648, 824382, 45929
10/02/2022, 2616, 166025, 12692, 6587, 4280, 2678, 1825, 1399, 707, 17439, 1019895, 826142, 45894
11/02/2022, 2583, 168608, 12597, 6617, 4263, 2681, 1819, 1405, 675, 17644, 1020336, 827557, 45866
12/02/2022, 1031, 169639, 12555, 6603, 4269, 2678, 1812, 1405, 661, 17724, 1020351, 828021, 45826
13/02/2022, 1227, 170866, 12471, 6599, 4261, 2683, 1821, 1392, 666, 17839, 1021049, 829236, 45794
14/02/2022, 2080, 172946, 12419, 6537, 4270, 2687, 1812, 1394, 684, 18013, 1021360, 830636, 45746
15/02/2022, 1008, 173954, 12336, 6529, 4249, 2683, 1808, 1400, 669, 18091, 1021128, 830797, 45655
16/02/2022, 0010, 173964, 12444, 6531, 4243, 2685, 1810, 1405, 692, 18132, 1024592, 833598, 45794, 8837
17/02/2022, 0000, 173964, 12489, 6548, 4225, 2696, 1808, 1412, 715, 18176, 1027363, 835822, 45872, 8835
18/02/2022, 0000, 173964, 12514, 6537, 4234, 2694, 1802, 1420, 737, 18208, 1029585, 837701, 45908, 8836
19/02/2022, 0000, 173964, 12608, 6464, 4221, 2697, 1793, 1427, 753, 18233, 1029968, 838079, 45917, 8832
20/02/2022, 0000, 173964, 12579, 6448, 4217, 2690, 1805, 1430, 771, 18255, 1030694, 838779, 45873, 8832
21/02/2022, 0000, 173964, 12502, 6456, 4214, 2687, 1803, 1439, 784, 18265, 1031379, 839403, 45805, 8828
22/02/2022, 0000, 173964, 12608, 6373, 4212, 2667, 1815, 1430, 810, 18277, 1031171, 839338, 45806, 8823
23/02/2022, 0000, 173964, 12640, 6298, 4213, 2654, 1825, 1420, 836, 18311, 1031405, 839729, 45756, 8827
24/02/2022, 0000, 173964, 12704, 6207, 4222, 2642, 1817, 1438, 864, 18332, 1031577, 840025, 45734, 8830
25/02/2022, 0000, 173964, 12702, 6052, 4226, 2601, 1817, 1447, 883, 18340, 1028011, 837390, 45518, 8826
26/02/2022, 0, 173964, 12782, 6000, 4211, 2613, 1814, 1446, 909, 18384, 1029510, 838743, 45542, 8823
27/02/2022, 0, 173964, 12791, 5925, 4204, 2612, 1808, 1460, 927, 18399, 1028860, 838411, 45452, 8817
28/02/2022, 0, 173964, 12784, 5895, 4191, 2620, 1806, 1453, 940, 18418, 1028816, 838448, 45400, 8810
01/03/2022, 0, 173964, 12838, 5813, 4195, 2603, 1817, 1449, 963, 18464, 1029676, 839279, 45378, 8814
02/03/2022, 0, 173964, 12738, 5835, 4191, 2588, 1816, 1453, 974, 18496, 1030331, 839924, 45279, 8807
03/03/2022, 0, 173964, 12679, 5833, 4187, 2591, 1827, 1453, 1000, 18522, 1031480, 840905, 45226, 8804
04/03/2022, 0, 173964, 12632, 5844, 4186, 2597, 1826, 1449, 1029, 18559, 1032848, 842108, 45192, 8799
05/03/2022, 0, 173964, 12564, 5863, 4180, 2592, 1827, 1449, 1038, 18588, 1033736, 842882, 45137, 8798
06/03/2022, 0, 173964, 12491, 5867, 4186, 2581, 1818, 1454, 1048, 18603, 1033769, 842970, 45060, 8797
07/03/2022, 0, 173964, 12387, 5877, 4176, 2573, 1821, 1450, 1063, 18615, 1033816, 843103, 44945, 8793
08/03/2022, 0, 173964, 12334, 5889, 4181, 2561, 1827, 1438, 1088, 18635, 1034769, 844007, 44898, 8789
09/03/2022, 0, 173964, 12205, 5893, 4175, 2561, 1829, 1429, 1097, 18655, 1034532, 843934, 44754, 8783
10/03/2022, 0, 173964, 12114, 5910, 4159, 2560, 1833, 1423, 1114, 18678, 1034823, 844299, 44667, 8787
11/03/2022, 0, 173964, 12037, 5910, 4158, 2562, 1836, 1419, 1130, 18720, 1035429, 844867, 44593, 8783
12/03/2022, 0, 173964, 11950, 5918, 4145, 2574, 1822, 1432, 1150, 18747, 1035739, 845200, 44501, 8778
13/03/2022, 3384, 177348, 10349, 5837, 4090, 2529, 1825, 1419, 1012, 18715, 1013772, 828959, 42647, 8883
14/03/2022, 5854, 183202, 10278, 5872, 4061, 2548, 1829, 1421, 763, 18836, 1011138, 826949, 42637, 8937
16/03/2022, 0032, 183234, 10367, 5894, 4062, 2538, 1839, 1422, 797, 18897, 1015137, 830194, 42781, 8939
17/03/2022, 3175, 186409, 10300, 5888, 4045, 2555, 1849, 1419, 759, 19081, 1014340, 830488, 42763, 9024
