Dies,190
ist,6125
das,7745
Buch,109
von,5694
der,17374
Geburt,33
Jesu,214
Christi,171
da,3111
ein,4556
Sohn,1714
Davids,265
des,6749
Sohnes,451
Abrahams,58
Juda,550
zeugte,210
Perez,18
und,38142
Serah,15
Thamar,25
Hezron,14
Ram,7
Amminadab,8
Nahesson,10
Salma,7
Boas,27
Rahab,12
Obed,12
Ruth,13
Jesse,2
den,8584
König,2061
David,790
Der,961
Salomo,240
dem,6758
Weib,477
Uria,30
Rehabeam,50
Abia,28
Asa,41
Josaphat,75
Joram,43
Usia,21
Jotham,20
Ahas,43
Hiskia,116
Manasse,115
Amon,17
Josia,32
Jechonja,8
seine,2030
Brüder,363
um,1351
die,15526
Zeit,861
babylonischen,4
Gefangenschaft,23
Nach,83
Sealthiel,3
Serubabel,19
Abiud,2
Eliakim,2
Asor,2
Zadok,44
Achim,2
Eliud,2
Eleasar,61
Matthan,4
Jakob,270
Joseph,169
Mann,722
Marias,5
welcher,205
geboren,168
Jesus,598
heißt,134
Christus,173
Alle,107
Glieder,35
Abraham,165
bis,1117
auf,5341
sind,2207
vierzehn,21
Von,158
Die,887
war,2492
aber,4781
also,819
getan,554
Als,120
Maria,47
Mutter,302
vertraut,15
fand,97
sich's,44
ehe,109
er,7459
sie,9091
heimholte,1
daß,7894
schwanger,63
heiligen,218
Geist,424
ihr,4206
fromm,33
wollte,233
nicht,7414
in,6869
Schande,65
bringen,240
gedachte,76
heimlich,40
zu,9688
verlassen,148
Indem,5
siehe,612
erschien,41
ihm,3344
Engel,256
HERRN,3387
im,1996
Traum,58
sprach,3488
du,4551
fürchte,56
dich,1874
dein,1193
Gemahl,2
dir,2163
nehmen,277
denn,3237
Und,7423
wird,3282
einen,1669
gebären,40
Namen,602
sollst,911
heißen,96
sein,3123
Volk,1788
selig,75
machen,545
ihren,928
Sünden,206
Siehe,681
eine,1414
Jungfrau,42
werden,2514
seinen,1346
Immanuel,4
verdolmetscht,9
Gott,2815
mit,5252
uns,1504
Da,2245
nun,1095
vom,835
Schlaf,28
erwachte,8
tat,340
wie,3034
befohlen,72
hatte,1413
nahm,432
sich,3251
erkannte,22
ersten,188
gebar,98
hieß,258
Bethlehem,37
jüdischen,21
Lande,723
zur,784
Königs,558
Herodes,46
kamen,444
Weisen,95
Morgenland,7
nach,1749
Jerusalem,768
sprachen,695
Wo,187
neugeborene,1
Juden,248
Wir,241
haben,1458
Stern,9
gesehen,228
gekommen,338
ihn,2758
anzubeten,16
hörte,215
erschrak,16
ganze,392
ließ,450
versammeln,31
alle,2085
Hohenpriester,59
Schriftgelehrten,62
unter,1724
erforschte,2
ihnen,2208
wo,361
sollte,283
sagten,71
Zu,135
steht,247
geschrieben,262
durch,1086
Propheten,350
bist,474
mitnichten,4
kleinste,6
Fürsten,332
Juda's,275
aus,2340
soll,2041
mir,2313
kommen,690
Herzog,4
über,2175
mein,1348
Israel,1884
HERR,4132
sei,952
berief,9
erlernte,1
Fleiß,39
wann,36
erschienen,34
wäre,222
wies,5
gen,858
Ziehet,11
hin,775
forschet,3
fleißig,18
Kindlein,41
wenn,927
ihr's,61
findet,72
so,3333
sagt,165
mir's,51
wieder,656
ich,6322
auch,2173
komme,140
es,3490
anbete,4
gehört,211
hatten,418
zogen,271
ging,668
vor,2816
kam,754
stand,261
oben,102
sahen,158
wurden,393
hoch,128
erfreut,12
gingen,321
Haus,832
fanden,73
seiner,961
fielen,91
nieder,95
beteten,36
an,3807
taten,152
ihre,1414
Schätze,45
schenkten,1
Gold,232
Weihrauch,21
Myrrhe,14
befahl,43
sollten,133
lenken,2
anderen,51
Weg,264
Land,883
hinweggezogen,1
waren,1277
Stehe,40
nimm,89
flieh,2
Ägyptenland,202
bleib,8
allda,30
sage,326
vorhanden,32
suche,25
dasselbe,47
umzubringen,12
bei,1150
Nacht,231
entwich,8
blieb,110
Tod,115
erfüllet,29
würde,239
was,1805
gesagt,397
hat,2789
spricht,1078
Aus,41
Ägypten,358
habe,1436
meinen,547
gerufen,27
sah,517
betrogen,12
ward,1067
sehr,305
zornig,63
schickte,24
Kinder,1726
töten,94
ganzen,278
Grenzen,39
zweijährig,1
darunter,21
erlernt,1
Auf,67
Gebirge,131
man,1066
Geschrei,87
viel,490
Klagens,4
Weinens,3
Heulens,2
Rahel,40
beweinte,5
trösten,34
lassen,545
gestorben,71
zieh,30
Kinde,4
Leben,388
standen,127
Archelaus,1
anstatt,16
seines,472
Vaters,284
fürchtete,49
dahin,223
empfing,11
Befehl,50
zog,342
Örter,8
galiläischen,2
Landes,132
wohnte,90
Stadt,814
Nazareth,28
Er,978
Nazarenus,1
Johannes,126
Täufer,11
predigte,33
Wüste,343
Tut,22
Buße,55
Himmelreich,25
nahe,111
herbeigekommen,9
Prophet,101
Jesaja,55
gesprochen,19
Es,890
Stimme,358
eines,294
Predigers,7
Bereitet,4
macht,223
richtig,16
Steige,14
Kleid,89
Kamelhaaren,2
ledernen,3
Gürtel,33
Lenden,70
Speise,142
Heuschrecken,30
wilder,3
Honig,55
hinaus,186
jüdische,8
Länder,40
Jordan,131
ließen,116
taufen,31
bekannten,7
viele,234
Pharisäer,79
Sadduzäer,12
Taufe,23
Ihr,409
Otterngezüchte,3
wer,573
euch,2874
gewiesen,2
künftigen,4
Zorn,257
entrinnen,34
werdet,323
Sehet,44
tut,351
rechtschaffene,3
Frucht,130
Denket,1
nur,163
wollt,84
sagen,702
zum,1764
Vater,714
Ich,1500
vermag,14
diesen,297
Steinen,35
erwecken,31
schon,99
Axt,5
Bäumen,38
Wurzel,33
gelegt,73
Darum,594
Baum,69
gute,79
bringt,98
abgehauen,20
ins,387
Feuer,413
geworfen,61
taufe,4
Wasser,549
kommt,520
stärker,16
genugsam,3
bin,788
Schuhe,24
tragen,136
Heiligen,169
Wurfschaufel,4
Hand,1045
Tenne,30
fegen,4
Weizen,36
Scheune,6
sammeln,70
Spreu,12
verbrennen,53
ewigem,4
Galiläa,59
ließe,23
Aber,1109
wehrte,8
bedarf,15
wohl,465
getauft,30
werde,541
kommst,40
antwortete,367
Laß,188
jetzt,133
gebührt,25
Gerechtigkeit,294
erfüllen,10
er's,132
stieg,31
alsbald,78
herauf,109
Himmel,587
