Date, Reviewed Today, Total Review, One, Two, Three, Four, Five, Six, Zero Missing, One Missing, Total Words, Total Known, Word Numbers, Known Words
13/03/2022, 2, 2, 34398, 13268, 6279, 3750, 2534, 1872, 0, 0, 1146375, 2128, 76198, 26
14/03/2022, 0, 2, 34386, 13283, 6284, 3748, 2535, 1874, 0, 0, 1147733, 2129, 76218, 26
16/03/2022, 0, 2, 34458, 13298, 6294, 3759, 2534, 1885, 0, 0, 1151052, 2137, 76355, 26
17/03/2022, 0, 2, 34475, 13308, 6301, 3757, 2534, 1887, 0, 0, 1152490, 2139, 76402, 26
18/03/2022, 0, 2, 34500, 13315, 6309, 3766, 2534, 1904, 0, 0, 1155224, 2142, 76484, 26
19/03/2022, 0, 2, 34494, 13347, 6305, 3774, 2533, 1890, 0, 0, 1157323, 2143, 76529, 26
20/03/2022, 0, 2, 34401, 13349, 6314, 3779, 2541, 1885, 0, 0, 1157372, 2142, 76453, 26
21/03/2022, 0, 2, 34337, 13330, 6307, 3783, 2562, 1883, 0, 0, 1157655, 2140, 76382, 26
22/03/2022, 0, 2, 34284, 13334, 6302, 3777, 2562, 1889, 0, 0, 1158553, 2139, 76334, 26
23/03/2022, 0, 2, 34151, 13361, 6297, 3777, 2551, 1902, 0, 0, 1158587, 2138, 76219, 26
24/03/2022, 0, 2, 34101, 13367, 6312, 3782, 2551, 1914, 0, 0, 1159875, 2137, 76212, 26
25/03/2022, 0, 2, 33948, 13372, 6312, 3770, 2542, 1930, 0, 0, 1158619, 2131, 76036, 26
26/03/2022, 0, 2, 33825, 13369, 6313, 3767, 2532, 1940, 0, 0, 1157625, 2121, 75892, 26
27/03/2022, 0, 2, 33702, 13350, 6288, 3781, 2539, 1933, 0, 0, 1156642, 2122, 75739, 26
28/03/2022, 0, 2, 33607, 13343, 6296, 3781, 2526, 1935, 0, 0, 1156256, 2125, 75642, 26
29/03/2022, 0, 2, 33471, 13333, 6279, 3793, 2525, 1933, 0, 0, 1155515, 2129, 75483, 26
30/03/2022, 0, 2, 33378, 13310, 6275, 3793, 2517, 1939, 0, 0, 1154987, 2129, 75358, 26
31/03/2022, 0, 2, 33304, 13309, 6288, 3772, 2517, 1937, 0, 0, 1155332, 2122, 75284, 26
01/04/2022, 0, 2, 33170, 13307, 6277, 3777, 2513, 1920, 0, 0, 1154614, 2121, 75129, 26
02/04/2022, 0, 2, 33072, 13279, 6280, 3762, 2522, 1937, 0, 0, 1154448, 2119, 75004, 26
03/04/2022, 0, 2, 32998, 13282, 6266, 3765, 2517, 1933, 0, 0, 1154386, 2121, 74922, 26
04/04/2022, 0, 2, 32859, 13275, 6254, 3771, 2501, 1945, 0, 0, 1152932, 2123, 74752, 26
05/04/2022, 0, 2, 32787, 13275, 6243, 3776, 2504, 1952, 0, 0, 1153153, 2127, 74683, 26
06/04/2022, 0, 2, 32644, 13250, 6236, 3789, 2506, 1954, 0, 0, 1151157, 2125, 74495, 26
07/04/2022, 0, 2, 32584, 13265, 6256, 3785, 2505, 1956, 0, 0, 1152624, 2128, 74478, 26
08/04/2022, 0, 2, 32468, 13242, 6257, 3776, 2484, 1958, 0, 0, 1151289, 2124, 74310, 26
11/04/2022, 0, 2, 32383, 13224, 6252, 3772, 2501, 1939, 0, 0, 1151450, 2123, 74210, 26
12/04/2022, 0, 2, 32233, 13212, 6272, 3747, 2499, 1930, 0, 0, 1149400, 2117, 74017, 26
13/04/2022, 0, 2, 32142, 13212, 6238, 3762, 2483, 1941, 0, 0, 1148948, 2118, 73892, 26
14/04/2022, 0, 2, 32071, 13177, 6250, 3756, 2478, 1932, 0, 0, 1148477, 2117, 73787, 26
15/04/2022, 0, 2, 32032, 13176, 6281, 3725, 2495, 1927, 0, 0, 1148978, 2117, 73766, 26
16/04/2022, 0, 2, 31917, 13141, 6270, 3740, 2496, 1908, 0, 0, 1146995, 2108, 73596, 26
17/04/2022, 0, 2, 31790, 13095, 6285, 3728, 2517, 1881, 0, 0, 1145397, 2111, 73418, 26
18/04/2022, 0, 2, 31751, 13098, 6287, 3739, 2504, 1886, 0, 0, 1145430, 2107, 73386, 26
19/04/2022, 0, 2, 31638, 13081, 6286, 3734, 2519, 1892, 0, 0, 1145460, 2109, 73269, 26
20/04/2022, 0, 2, 31538, 13062, 6308, 3722, 2516, 1893, 0, 0, 1145746, 2118, 73165, 26
21/04/2022, 0, 2, 31471, 13012, 6307, 3744, 2513, 1889, 0, 0, 1145126, 2114, 73058, 26
22/04/2022, 0, 2, 31453, 12988, 6307, 3742, 2504, 1901, 0, 0, 1146077, 2113, 73021, 26
23/04/2022, 0, 2, 31295, 12984, 6308, 3748, 2492, 1899, 0, 0, 1144012, 2111, 72838, 26
24/04/2022, 0, 2, 31202, 12982, 6303, 3760, 2493, 1882, 0, 0, 1143477, 2109, 72733, 26
25/04/2022, 0, 2, 31077, 12997, 6300, 3765, 2496, 1871, 0, 0, 1142749, 2104, 72614, 26
26/04/2022, 0, 2, 30990, 12981, 6318, 3772, 2479, 1875, 0, 0, 1142504, 2120, 72524, 26
27/04/2022, 0, 2, 30853, 12963, 6322, 3772, 2481, 1870, 0, 0, 1141138, 2129, 72357, 26
28/04/2022, 0, 2, 30833, 12954, 6329, 3756, 2493, 1867, 0, 0, 1141674, 2142, 72329, 26
