Date, Reviewed Today, Total Review, One, Two, Three, Four, Five, Six, Zero Missing, One Missing, Total Words, Total Known, Word Numbers, Known Words
26/06/2022, 0, 0, 17947, 6227, 3126, 2015, 1425, 1039, 1, 0, 503844, 2566, 40124, 13
27/06/2022, 0, 0, 17969, 6233, 3135, 2010, 1425, 1041, 1, 0, 504529, 2567, 40169, 13
28/06/2022, 0, 0, 17988, 6227, 3156, 2006, 1419, 1042, 1, 0, 505784, 2570, 40214, 13
29/06/2022, 0, 0, 18022, 6224, 3160, 2008, 1418, 1055, 1, 0, 507342, 2576, 40278, 13
30/06/2022, 0, 0, 18037, 6236, 3177, 2006, 1429, 1045, 1, 0, 509274, 2583, 40349, 13
01/07/2022, 0, 0, 18070, 6235, 3186, 2004, 1431, 1046, 1, 0, 510827, 2585, 40412, 13
02/07/2022, 0, 0, 18090, 6229, 3203, 2007, 1427, 1052, 1, 0, 512501, 2591, 40466, 13
03/07/2022, 0, 0, 18110, 6227, 3212, 2016, 1427, 1056, 1, 0, 514305, 2594, 40526, 13
04/07/2022, 0, 0, 18131, 6242, 3219, 2018, 1424, 1059, 1, 0, 515718, 2601, 40593, 13
05/07/2022, 0, 0, 18148, 6258, 3230, 2022, 1419, 1060, 1, 0, 517390, 2603, 40656, 13
06/07/2022, 0, 0, 18175, 6260, 3228, 2026, 1423, 1069, 1, 0, 519075, 2608, 40716, 13
07/07/2022, 0, 0, 18205, 6261, 3243, 2030, 1423, 1073, 1, 0, 520841, 2611, 40789, 13
08/07/2022, 0, 0, 18241, 6249, 3261, 2028, 1433, 1073, 1, 0, 522473, 2614, 40855, 13
09/07/2022, 0, 0, 18266, 6247, 3268, 2035, 1429, 1078, 1, 0, 524091, 2624, 40913, 13
10/07/2022, 0, 0, 18274, 6256, 3270, 2042, 1427, 1076, 1, 0, 525213, 2632, 40951, 13
11/07/2022, 0, 0, 18293, 6244, 3282, 2048, 1434, 1074, 1, 0, 526632, 2640, 40998, 13
12/07/2022, 0, 0, 18295, 6265, 3278, 2049, 1441, 1073, 1, 0, 527903, 2646, 41039, 13
13/07/2022, 0, 0, 18313, 6270, 3284, 2061, 1437, 1064, 1, 0, 529418, 2660, 41091, 13
14/07/2022, 0, 0, 18334, 6271, 3290, 2061, 1433, 1071, 1, 0, 530787, 2674, 41139, 13
15/07/2022, 0, 0, 18354, 6271, 3287, 2079, 1431, 1073, 1, 0, 532676, 2688, 41193, 13
16/07/2022, 0, 0, 18381, 6278, 3281, 2091, 1436, 1069, 1, 0, 534365, 2696, 41257, 13
17/07/2022, 0, 0, 18424, 6295, 3274, 2103, 1440, 1066, 1, 0, 535791, 2699, 41340, 13
18/07/2022, 0, 0, 18440, 6313, 3277, 2106, 1439, 1072, 1, 0, 537314, 2703, 41405, 13
19/07/2022, 0, 0, 18466, 6309, 3283, 2107, 1449, 1060, 1, 0, 538842, 2712, 41457, 13
20/07/2022, 0, 0, 18473, 6317, 3276, 2112, 1451, 1059, 1, 0, 539735, 2714, 41482, 13
21/07/2022, 0, 0, 18505, 6305, 3292, 2122, 1436, 1066, 1, 0, 541455, 2719, 41545, 13
22/07/2022, 0, 0, 18520, 6306, 3304, 2124, 1443, 1058, 1, 0, 542715, 2728, 41589, 13
23/07/2022, 0, 0, 18551, 6315, 3294, 2139, 1437, 1065, 1, 0, 544629, 2731, 41656, 13
24/07/2022, 0, 0, 18567, 6320, 3284, 2154, 1435, 1068, 1, 0, 545848, 2734, 41694, 13
25/07/2022, 0, 0, 18575, 6331, 3284, 2158, 1431, 1070, 1, 0, 546949, 2742, 41728, 13
26/07/2022, 0, 0, 18586, 6341, 3287, 2156, 1434, 1078, 1, 0, 548465, 2750, 41776, 13
27/07/2022, 0, 0, 18603, 6358, 3281, 2168, 1437, 1089, 1, 0, 550043, 2757, 41840, 13
28/07/2022, 0, 0, 18612, 6377, 3270, 2174, 1444, 1086, 1, 0, 551514, 2757, 41886, 13
29/07/2022, 0, 0, 18660, 6396, 3267, 2189, 1438, 1102, 1, 0, 555174, 2770, 42007, 13
30/07/2022, 0, 0, 18701, 6392, 3273, 2183, 1448, 1101, 1, 0, 556172, 2774, 42063, 13
31/07/2022, 0, 0, 18726, 6406, 3270, 2194, 1446, 1103, 1, 0, 557898, 2775, 42132, 13
01/08/2022, 0, 0, 18776, 6425, 3262, 2206, 1443, 1109, 1, 0, 559397, 2779, 42224, 13
02/08/2022, 0, 0, 18814, 6425, 3266, 2203, 1451, 1103, 1, 0, 561058, 2789, 42290, 13
03/08/2022, 0, 0, 18825, 6427, 3260, 2214, 1450, 1113, 1, 0, 562521, 2799, 42327, 13
04/08/2022, 0, 0, 18842, 6437, 3255, 2224, 1448, 1118, 1, 0, 563876, 2810, 42377, 13
05/08/2022, 0, 0, 18847, 6453, 3261, 2227, 1457, 1113, 1, 0, 565419, 2818, 42432, 13
06/08/2022, 0, 0, 18873, 6459, 3263, 2229, 1462, 1106, 1, 0, 566825, 2823, 42488, 13
07/08/2022, 0, 0, 18906, 6462, 3266, 2237, 1471, 1107, 1, 0, 568301, 2830, 42559, 13
08/08/2022, 0, 0, 18938, 6462, 3260, 2259, 1481, 1097, 1, 0, 569850, 2836, 42629, 13
09/08/2022, 0, 0, 18941, 6476, 3272, 2254, 1476, 1110, 1, 0, 571449, 2843, 42678, 13
10/08/2022, 0, 0, 18966, 6482, 3279, 2249, 1484, 1114, 1, 0, 572757, 2848, 42733, 13
11/08/2022, 0, 0, 18993, 6489, 3279, 2250, 1490, 1118, 1, 0, 574372, 2852, 42793, 13
12/08/2022, 0, 0, 19019, 6487, 3286, 2249, 1502, 1113, 1, 0, 576181, 2861, 42857, 13
13/08/2022, 0, 0, 19045, 6492, 3304, 2245, 1501, 1119, 1, 0, 577854, 2866, 42922, 13
14/08/2022, 0, 0, 19056, 6503, 3307, 2245, 1508, 1123, 1, 0, 579627, 2870, 42974, 13
15/08/2022, 0, 0, 19092, 6506, 3325, 2237, 1517, 1118, 1, 0, 581727, 2881, 43058, 13
16/08/2022, 0, 0, 19149, 6505, 3354, 2238, 1520, 1127, 1, 0, 585035, 2898, 43182, 13
17/08/2022, 0, 0, 19179, 6515, 3357, 2242, 1517, 1134, 1, 0, 587429, 2908, 43259, 13
18/08/2022, 0, 0, 19206, 6520, 3379, 2231, 1532, 1126, 1, 0, 589846, 2916, 43339, 13
19/08/2022, 0, 0, 19235, 6532, 3379, 2242, 1543, 1113, 1, 0, 592129, 2926, 43420, 13
20/08/2022, 0, 0, 19259, 6542, 3382, 2235, 1549, 1123, 1, 0, 593107, 2931, 43469, 13
21/08/2022, 0, 0, 19268, 6552, 3396, 2236, 1550, 1122, 1, 0, 594383, 2938, 43517, 13
